EMORY GROUP|Location is: EMORY GROUP|3|20:00:00|21:00:00|TEXAS STREET AND HWY 19 NORTH, EMORY, TX 
GRANBURY SERENITY|Location is: GRANBURY SERENITY|3|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY|Location is: GRANBURY SERENITY|4|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY|Location is: GRANBURY SERENITY|5|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY|Location is: GRANBURY SERENITY|6|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY|Location is: GRANBURY SERENITY|7|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|1|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|2|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|3|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|4|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|5|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|6|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|7|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 4|Location is: GRANBURY SERENITY|5|18:00:00|19:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|1|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|2|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|3|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|4|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|5|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|6|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|7|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
THURSDAY NITE LADIES|Location is: Chr. Comm. Presby. Church|5|20:00:00|21:00:00|3120 Bel Air Dr., Bowie, TX 79703
Copperas Cove AA|Location is: Fairview Community Church|2|20:00:00|21:00:00|Veterans Ave, Copperas Cove, TX 76522
Copperas Cove AA   12&12|Location is: Fairview Community Church|1|20:00:00|21:00:00|11th & Veterans, copperas_cove, TX 76522
As Bill Sees It|Location is: Fairview Community Church|6|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522
Copperas Cove AA|Location is: Fairview Community Church|7|20:00:00|21:00:00|11th St & Veterans, copperas_cove, TX 76522
Copperas Cove AA Thursday Night Big Book Study|Location is: Fairview Community Church|5|20:00:00|21:00:00|Veterans & 11th St, copperas_cove, TX 76522
Coperas Cove AATuesday Night Open Discussion|Location is: Fairview Community Church|3|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522
Copperas Cove AA|Location is: Fairview Community Church|3|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522
Copperas Cove Tuesday Night|Location is: Fairview Community Church|3|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522
Wednesday night Beginners Meeting|Location is: Fairview Community Church |4|20:00:00|21:00:00|1202 Veterans Ave, copperas cove, TX 76522
The Meridian Group|Location is: Brantley Building -downtown MeridIan|5|12:15:00|13:15:00|116-b North Main (Hwy. 144), Meridian, TX 76665
The Meridian Group|Location is: Brantley Building -downtown MeridIan|4|20:00:00|21:00:00|116-b North Main (Hwy. 144), Meridian, TX 76665
The Meridian Group|Location is: Brantley Building -downtown MeridIan|2|20:00:00|21:00:00|116-b North Main (Hwy. 144), Meridian, TX 76665
PROMISES|Location is: PROMISES|3|18:30:00|19:30:00|1200 TEMPLE HALL HWY, GRANBURY, TX 76049
PROMISES|Location is: PROMISES|5|18:30:00|19:30:00|1200 TEMPLE HALL HWY, GRANBURY, TX 76049
WAYWARD GROUP|Location is: WAYWARD GROUP|2|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX 
WAYWARD GROUP|Location is: WAYWARD GROUP|3|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX 
WAYWARD GROUP|Location is: WAYWARD GROUP|4|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX 
WAYWARD GROUP|Location is: WAYWARD GROUP|5|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX 
WAYWARD GROUP|Location is: WAYWARD GROUP|6|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX 
WAYWARD GROUP 3|Location is: WAYWARD GROUP|1|12:00:00|13:00:00|109 AUSTIN PLACE, WEATHERFORD, TX 76086
WAYWARD GROUP 2|Location is: WAYWARD GROUP|1|20:00:00|21:00:00|109 AUSTIN PLACE, WEATHERFORD, TX 76086
WAYWARD GROUP 2|Location is: WAYWARD GROUP|7|20:00:00|21:00:00|109 AUSTIN PLACE, WEATHERFORD, TX 76086
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|1|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|2|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|3|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|4|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|5|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|6|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|7|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|1|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|2|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|3|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|4|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|5|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|6|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|7|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086
Centerpoint|Location is: Fellowship Hall|2|20:00:00|21:00:00|CENTERPOINT TX, center_point, TX 
GRUPO NUEVO HORIZONTE|Location is: GRUPO NUEVO HORIZONTE|2|20:00:00|21:00:00|140 JUAN CT, HUDSON OAKS, TX 76087
GRUPO NUEVO HORIZONTE|Location is: GRUPO NUEVO HORIZONTE|4|20:00:00|21:00:00|140 JUAN CT, HUDSON OAKS, TX 76087
GRUPO NUEVO HORIZONTE|Location is: GRUPO NUEVO HORIZONTE|7|20:00:00|21:00:00|140 JUAN CT, HUDSON OAKS, TX 76087
RIVERIA PARADISIO|Location is: Lowery Lodge Sober House|1|13:00:00|14:00:00|2211 Memorial Blvd (HWY 27), kerrville, TX 
Delta Group|Location is: The Delta Group House|1|20:00:00|21:00:00|1402 N 2nd St, Killeen, TX 76541
Primary Purpose|Location is: Memorial Baptist Church|5|18:30:00|19:30:00|4001 West Trimmier Road, Killeen, TX 76542
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|7|09:00:00|10:00:00|213 PECAN DR, ALEDO, TX 76008
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|2|19:00:00|20:00:00|213 PECAN DR, ALEDO, TX 76008
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|3|19:00:00|20:00:00|213 PECAN DR, ALEDO, TX 76008
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|5|19:00:00|20:00:00|213 PECAN DR, ALEDO, TX 76008
Renaissance Group|Location is: United Methodist Church|7|18:00:00|19:00:00|302 E Curry St, Florence, TX 76527
Renaissance Group|Location is: Florence United Methodist Church|7|18:00:00|19:00:00|302 E. Curry St., florence, TX 76527
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|1|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|2|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|5|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|6|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033
ALCO GROUP 4|Location is: ALCO GROUP|1|11:00:00|12:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP|Location is: ALCO GROUP|2|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP|Location is: ALCO GROUP|3|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP|Location is: ALCO GROUP|4|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP|Location is: ALCO GROUP|5|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP|Location is: ALCO GROUP|6|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP|Location is: ALCO GROUP|7|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP 2|Location is: ALCO GROUP|1|19:00:00|20:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP 2|Location is: ALCO GROUP|2|19:00:00|20:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP 2|Location is: ALCO GROUP|3|19:00:00|20:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP 2|Location is: ALCO GROUP|5|19:00:00|20:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP 3|Location is: ALCO GROUP|4|20:00:00|21:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP 3|Location is: ALCO GROUP|6|20:00:00|21:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
ALCO GROUP 3|Location is: ALCO GROUP|7|20:00:00|21:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031
Lake Whitney 2|Location is: Bonanza Shopping Center|1|11:00:00|12:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney|Location is: Bonanza Shopping Center|1|11:00:00|12:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney|Location is: Bonanza Shopping Center|2|12:00:00|13:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney|Location is: Bonanza Shopping Center|3|12:00:00|13:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney|Location is: Bonanza Shopping Center|4|12:00:00|13:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney|Location is: Bonanza Shopping Center|5|12:00:00|13:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney|Location is: Bonanza Shopping Center|6|12:00:00|13:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney 2|Location is: Bonanza Shopping Center|7|11:00:00|12:00:00|300 FM-1713, Whitney, TX 76692
Lake Whitney|Location is: Bonanza Shopping Center|7|11:00:00|12:00:00|300 FM-1713, Whitney, TX 76692
Parker Wednesday|Location is: Parker Wednesday|4|14:00:00|15:00:00|19650 E. Main St. (center), Parker, TX 
STEWART STREET|Location is: STEWART STREET|1|12:00:00|13:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET|Location is: STEWART STREET|2|12:00:00|13:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET|Location is: STEWART STREET|3|12:00:00|13:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET|Location is: STEWART STREET|4|12:00:00|13:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET|Location is: STEWART STREET|5|12:00:00|13:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET|Location is: STEWART STREET|6|12:00:00|13:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET|Location is: STEWART STREET|7|12:00:00|13:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 2|Location is: STEWART STREET|1|18:30:00|19:30:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 2|Location is: STEWART STREET|2|18:30:00|19:30:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 2|Location is: STEWART STREET|3|18:30:00|19:30:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 2|Location is: STEWART STREET|4|18:30:00|19:30:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 2|Location is: STEWART STREET|5|18:30:00|19:30:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 2|Location is: STEWART STREET|6|18:30:00|19:30:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 2|Location is: STEWART STREET|7|18:30:00|19:30:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 3|Location is: STEWART STREET|1|20:00:00|21:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 3|Location is: STEWART STREET|2|20:00:00|21:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 3|Location is: STEWART STREET|3|20:00:00|21:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 3|Location is: STEWART STREET|4|20:00:00|21:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 3|Location is: STEWART STREET|5|20:00:00|21:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 3|Location is: STEWART STREET|6|20:00:00|21:00:00|104 S STEWART ST, AZLE, TX 76020
STEWART STREET 3|Location is: STEWART STREET|7|20:00:00|21:00:00|104 S STEWART ST, AZLE, TX 76020
GLASS HOUSE|Location is: GLASS HOUSE|2|07:00:00|08:00:00|6713 HEMSELL PL, FORT WORTH, TX 76116
GLASS HOUSE|Location is: GLASS HOUSE|3|07:00:00|08:00:00|6713 HEMSELL PL, FORT WORTH, TX 76116
GLASS HOUSE|Location is: GLASS HOUSE|4|07:00:00|08:00:00|6713 HEMSELL PL, FORT WORTH, TX 76116
GLASS HOUSE|Location is: GLASS HOUSE|5|07:00:00|08:00:00|6713 HEMSELL PL, FORT WORTH, TX 76116
GLASS HOUSE|Location is: GLASS HOUSE|6|07:00:00|08:00:00|6713 HEMSELL PL, FORT WORTH, TX 76116
GLASS HOUSE 6|Location is: GLASS HOUSE|7|10:00:00|11:00:00|6713 HEMSELL PL, FORT WORTH, TX 76116
