Steakhouse 26|Location is: Steakhouse 26|7|09:00:00|10:00:00|Millville Town Center, Millville, DE 08332|38.5503063|-75.12443480000002
CROSSROADS OF RECOVERY 4|Location is: Cross Roads|6|18:30:00|19:30:00|102 Washington Boulevard, Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 5|Location is: Cross Roads|6|20:30:00|21:30:00|102 Washington Boulevard, Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 6|Location is: Cross Roads|7|10:00:00|11:00:00|102 Washington Boulevard, Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: Cross Roads|7|00:00:00|01:00:00|102 Washington Boulevard, Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 3|Location is: Cross Roads|7|17:00:00|18:00:00|102 Washington Boulevard, Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 5|Location is: Cross Roads|7|20:30:00|21:30:00|102 Washington Boulevard, Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: CROSSROADS OF RECOVERY|1|00:00:00|01:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 7|Location is: CROSSROADS OF RECOVERY|1|14:00:00|15:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: CROSSROADS OF RECOVERY|2|00:00:00|01:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 2|Location is: CROSSROADS OF RECOVERY|2|17:00:00|18:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 5|Location is: CROSSROADS OF RECOVERY|3|08:00:00|09:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: CROSSROADS OF RECOVERY|3|00:00:00|01:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 2|Location is: CROSSROADS OF RECOVERY|3|17:00:00|18:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 5|Location is: CROSSROADS OF RECOVERY|4|08:00:00|09:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: CROSSROADS OF RECOVERY|4|00:00:00|01:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 2|Location is: CROSSROADS OF RECOVERY|4|17:00:00|18:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 5|Location is: CROSSROADS OF RECOVERY|5|08:00:00|09:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: CROSSROADS OF RECOVERY|5|00:00:00|01:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 2|Location is: CROSSROADS OF RECOVERY|5|17:00:00|18:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: CROSSROADS OF RECOVERY|6|00:00:00|01:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 2|Location is: CROSSROADS OF RECOVERY|6|17:00:00|18:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 6|Location is: CROSSROADS OF RECOVERY|7|10:00:00|11:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY|Location is: CROSSROADS OF RECOVERY|7|00:00:00|01:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 2|Location is: CROSSROADS OF RECOVERY|7|17:00:00|18:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 8|Location is: CROSSROADS OF RECOVERY|1|19:00:00|20:00:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 4|Location is: CROSSROADS OF RECOVERY|1|20:30:00|21:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 3|Location is: CROSSROADS OF RECOVERY|2|18:30:00|19:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 4|Location is: CROSSROADS OF RECOVERY|2|20:30:00|21:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 3|Location is: CROSSROADS OF RECOVERY|4|18:30:00|19:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 4|Location is: CROSSROADS OF RECOVERY|4|20:30:00|21:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 3|Location is: CROSSROADS OF RECOVERY|5|18:30:00|19:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 4|Location is: CROSSROADS OF RECOVERY|5|20:30:00|21:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 3|Location is: CROSSROADS OF RECOVERY|6|18:30:00|19:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 4|Location is: CROSSROADS OF RECOVERY|6|20:30:00|21:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
CROSSROADS OF RECOVERY 4|Location is: CROSSROADS OF RECOVERY|7|20:30:00|21:30:00|102 Washington Blvd., Laurel, DE 20707|38.56212|-75.56853130000002
LAUREL REALITY|Location is: LAUREL REALITY|1|09:00:00|10:00:00|200 Laurel Avenue, Laurel, DE 20707|38.5531639|-75.54459959999997
LAUREL RECOVERY 7|Location is: LAUREL RECOVERY|1|09:00:00|10:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 8|Location is: LAUREL RECOVERY|1|11:00:00|12:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 9|Location is: LAUREL RECOVERY|1|16:00:00|17:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|1|17:30:00|18:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 2|Location is: LAUREL RECOVERY|2|08:00:00|09:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY|Location is: LAUREL RECOVERY|2|00:00:00|01:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|2|17:30:00|18:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|3|17:30:00|18:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 4|Location is: LAUREL RECOVERY|3|20:00:00|21:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 5|Location is: LAUREL RECOVERY|3|20:30:00|21:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 2|Location is: LAUREL RECOVERY|4|08:00:00|09:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY|Location is: LAUREL RECOVERY|4|00:00:00|01:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|4|17:30:00|18:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 4|Location is: LAUREL RECOVERY|4|20:00:00|21:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|5|17:30:00|18:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 5|Location is: LAUREL RECOVERY|5|20:30:00|21:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 2|Location is: LAUREL RECOVERY|6|08:00:00|09:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY|Location is: LAUREL RECOVERY|6|00:00:00|01:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|6|17:30:00|18:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 4|Location is: LAUREL RECOVERY|6|20:00:00|21:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 6|Location is: LAUREL RECOVERY|6|12:00:00|13:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY|Location is: LAUREL RECOVERY|7|00:00:00|01:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|7|17:30:00|18:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 5|Location is: LAUREL RECOVERY|7|20:30:00|21:30:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 6|Location is: LAUREL RECOVERY|7|12:00:00|13:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 7|Location is: LAUREL RECOVERY|1|09:00:00|10:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 8|Location is: LAUREL RECOVERY|1|11:00:00|12:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 9|Location is: LAUREL RECOVERY|1|16:00:00|17:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|1|17:30:00|18:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 2|Location is: LAUREL RECOVERY|2|08:00:00|09:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY|Location is: LAUREL RECOVERY|2|00:00:00|01:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|2|17:30:00|18:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|3|17:30:00|18:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY|Location is: LAUREL RECOVERY|4|00:00:00|01:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|4|17:30:00|18:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|5|17:30:00|18:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 2|Location is: LAUREL RECOVERY|6|08:00:00|09:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY|Location is: LAUREL RECOVERY|6|00:00:00|01:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 3|Location is: LAUREL RECOVERY|6|17:30:00|18:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 4|Location is: LAUREL RECOVERY|3|20:30:00|21:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
REALITY ALUMNI|Location is: Club|4|20:00:00|21:00:00|368 Main St, Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 5|Location is: LAUREL RECOVERY|6|12:00:00|13:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 6|Location is: LAUREL RECOVERY|6|20:00:00|21:00:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
LAUREL RECOVERY 4|Location is: LAUREL RECOVERY|7|20:30:00|21:30:00|368 Main St., Laurel, DE 20707|38.5734901|-75.61810760000003
Reality Group|Location is: LAUREL RECOVERY|4|20:00:00|21:00:00|368 Main Street, Laurel, DE 20707|38.5734901|-75.61810760000003
SECONDS COUNT|Location is: METHODIST CHURCH|3|19:00:00|20:00:00|ROUTE 9 AND THOMAS AVE, WEST CREEK, DE 08092|39.4460394|-75.6296342
WEST CREEK GROUP|Location is: METHODIST CHURCH|4|20:00:00|21:00:00|ROUTE 9 AND THOMAS AVE, WEST CREEK, DE 08092|39.4460394|-75.6296342
RECONSTRUCTION ZONE|Location is: RECONSTRUCTION ZONE|5|17:00:00|18:00:00|1337 Penn. Ave., Southeast, DE 19565|39.7534227|-75.55975890000002
RECONSTRUCTION ZONE|Location is: RECONSTRUCTION ZONE|7|11:00:00|12:00:00|1337 Penn. Ave., Southeast, DE 19565|39.7534227|-75.55975890000002
SUN. AFTERNOON BREAK|Location is: Trinity Episcopal Ch|1|15:00:00|16:00:00|9325 West St., Manassas, DE 20110|39.5277342|-75.75972960000001
MANASSAS BIG BOOK|Location is: Trinity Episcopal Ch|4|20:00:00|21:00:00|9325 West St., Manassas, DE 20110|39.5277342|-75.75972960000001
SATURDAY NIGHT|Location is: Trinity Episcopal Church|7|19:00:00|20:00:00|9325 West Street, Manassas, DE 20110|39.5277342|-75.75972960000001
A Way to Recovery|Location is: Connections Church|4|20:00:00|21:00:00|100 W Green St., Middletown, DE 21769|39.44795999999999|-75.71914500000003
A Way to Recovery|Location is: Connections Church|7|09:00:00|10:00:00|W. Green St, Middletown, DE 21769|39.4482867|-75.71861790000003
NEW LIFE GROUP|Location is: NEW BAPTIST CHURCH|6|20:00:00|21:00:00|HIGHWAY 161, MIDDLETOWN, DE 07748|39.528524|-75.5783343
Dawn Patrol|Location is: Faith Lutheran Church|7|06:30:00|07:30:00|524 South Street, new_providence, DE 07974|38.5242016|-75.06797240000003
Seaford Serenity|Location is: Seaford|2|19:30:00|20:30:00|Jackson Avenue, seaford, DE 11783|38.5484712|-75.5805871
Gratitude Group|Location is: St. William the Abbott|1|20:00:00|21:00:00|2001 Jackson Ave, seaford, DE 11783|38.5484712|-75.5805871
FIRESIDE|Location is: ST ANDREWS CHURCH|2|09:30:00|10:30:00|17 SOUTH AVE, BEACON, DE 12508|39.750276|-75.732418
FIRESIDE|Location is: ST ANDREWS CHURCH|3|09:30:00|10:30:00|17 SOUTH AVE, BEACON, DE 12508|39.750276|-75.732418
FIRESIDE|Location is: ST ANDREWS CHURCH|4|09:30:00|10:30:00|17 SOUTH AVE, BEACON, DE 12508|39.750276|-75.732418
FIRESIDE|Location is: ST ANDREWS CHURCH|5|09:30:00|10:30:00|17 SOUTH AVE, BEACON, DE 12508|39.750276|-75.732418
FIRESIDE|Location is: ST ANDREWS CHURCH|6|09:30:00|10:30:00|17 SOUTH AVE, BEACON, DE 12508|39.750276|-75.732418
FIRESIDE|Location is: ST ANDREWS CHURCH|7|09:30:00|10:30:00|17 SOUTH AVE, BEACON, DE 12508|39.750276|-75.732418
Serenity Seekers|Location is: Baptist Church|6|12:00:00|13:00:00|106 N Main, Kent City, DE 06757|39.1149453|-75.5407644
Candlelite|Location is: Episcopal Church|5|19:00:00|20:00:00|1700 North 3900, Whiterocks, DE 15490|39.6501463|-75.66843899999998
Whiterocks Group|Location is: Episcopal Church|3|19:00:00|20:00:00|1700 North 3900, Whiterocks, DE 15490|39.6501463|-75.66843899999998
BIG BOOK COVER TO COVER|Location is: COSTAL COMMUNITY CHURCH|2|12:00:00|13:00:00|260 RT. ONE, SCARBOROUGH, DE 06457|38.7073449|-75.08629059999998
CHAPTER TWO GROUP|Location is: FIRST CONGREGATIONAL CHURCH|5|19:00:00|20:00:00|227 MAIN STREET, FARMINGTON, DE 06032|38.8695873|-75.577358
Wednesday Big Book|Location is: Westerly Senior Center|4|15:00:00|16:00:00|39 State St., Westerly, DE 02891|39.6766937|-75.72536130000003
Cops & Robbers|Location is: Cops & Robbers|2|19:00:00|20:00:00|287 State St., SPRINGFIELD, DE 01105|39.1647969|-75.5827203
Springfield Step Group|Location is: Open Pantry Bldg.|1|19:00:00|20:00:00|287 State St.?, SPRINGFIELD, DE 01105|39.1647969|-75.5827203
STEPPING THRU DC|Location is: STEPPING THRU DC|2|00:00:00|01:00:00|117 D St., Northwest, DE 28560|39.72689889999999|-75.54492770000002
STEPPING THRU DC|Location is: STEPPING THRU DC|3|00:00:00|01:00:00|117 D St., Northwest, DE 28560|39.72689889999999|-75.54492770000002
STEPPING THRU DC|Location is: STEPPING THRU DC|4|00:00:00|01:00:00|117 D St., Northwest, DE 28560|39.72689889999999|-75.54492770000002
STEPPING THRU DC|Location is: STEPPING THRU DC|5|00:00:00|01:00:00|117 D St., Northwest, DE 28560|39.72689889999999|-75.54492770000002
STEPPING THRU DC|Location is: STEPPING THRU DC|6|00:00:00|01:00:00|117 D St., Northwest, DE 28560|39.72689889999999|-75.54492770000002
SOUTH WILMINGTON STREET RECOVERY GROUP|Location is: South Wilmington St. Center|3|20:00:00|21:00:00|1420 S. Wilmington St., RALEIGH, DE 27601|39.6815436|-75.57388359999999
REACHING OUT GROUP|Location is: Jones Cafe-Downtown|2|20:00:00|21:00:00|415 E. Main Street, CLAYTON, DE 27520|39.290309|-75.635201
REACHING OUT GROUP|Location is: Jones Cafe-Downtown|4|20:00:00|21:00:00|415 E. Main Street, CLAYTON, DE 27520|39.290309|-75.635201
Open Hand Group|Location is: Immaculate Heart of Mary Church|3|20:00:00|21:00:00|256 State St., GRANBY, DE 01033|39.817587|-75.52219109999999
Green Acres Group|Location is: Goldsboro|4|20:00:00|21:00:00|1903 US Hwy 117 S, goldsboro, DE 27534|39.0302686|-75.73719169999998
Green Acres Group|Location is: Goldsboro|3|17:30:00|18:30:00|1903 US Hwy 117 S, goldsboro, DE 27534|39.0302686|-75.73719169999998
Green Acres Group|Location is: Goldsboro|6|20:00:00|21:00:00|1903 US Hwy 117 S, goldsboro, DE 27534|39.0302686|-75.73719169999998
WareYoung People_s Group|Location is: Mary Lane Hospital|1|19:00:00|20:00:00|85 South St.?, WARE, DE 01082|39.7249786|-75.70757179999998
Castile Sunday|Location is: United Church Of Christ|1|19:30:00|20:30:00|Main St & Washington St, Castile, DE 14427|39.6842575|-75.7383317
Thought for the day|Location is: Trinity Church|4|11:00:00|12:00:00|212 Mill St, new castle, DE 16101|39.6845822|-75.7010426
Serenity Depot|Location is: Methodist Church|2|20:00:00|21:00:00|12 State St, Manchester, DE 14504|39.833093|-75.50959399999999
Newark Saturday|Location is: Presbyterian Church|7|19:00:00|20:00:00|Church St, Newark, DE 14513|39.675217|-75.754142
Valley|Location is: Saint Augustine's|6|19:30:00|20:30:00|17 Lincoln Street, Millville, DE 01529|38.5101476|-75.1130637
Progress Not Perfection|Location is: Rehoboth Congregational Church|2|19:00:00|20:00:00|139 Baystate Road, Rehoboth, DE 02769|38.7813594|-75.11990149999997
SUMMERFIELD|Location is: COMMUNITY LUTHERAN CHURCH|2|20:00:00|21:00:00|4960 HWY 220 N, GREENSBORO, DE 27358|38.9568117|-75.73206470000002
Milford Group|Location is: Avenue United Methodist Church|5|20:00:00|21:00:00|20 N. Church Street., Milford, DE 01757|38.912744|-75.43127199999998
Cottage|Location is: Lady of Sorrows|5|10:30:00|11:30:00|59 Cottage St., Sharon, DE 02067|38.6219767|-75.19504089999998
Lady of Sorrows|Location is: Lady of Sorrows|3|10:30:00|11:30:00|59 Cottage St., Sharon, DE 02067|38.6219767|-75.19504089999998
Lady of Sorrows|Location is: Lady of Sorrows|2|10:30:00|11:30:00|59 Cottage St., Sharon, DE 02067|38.6219767|-75.19504089999998
Miracles Happen|Location is: First Congregational Church|7|10:00:00|11:00:00|12 Church St., Rockland, DE 02370|39.7718304|-75.58862049999999
Acceptance|Location is: East Cong. Ch.|2|19:00:00|20:00:00|610 Adams St., Milton, DE 02186|38.8269705|-75.21151229999998
