EMORY GROUP|Location is: EMORY GROUP|3|20:00:00|21:00:00|TEXAS STREET AND HWY 19 NORTH, EMORY, TX |32.873518|-95.76612549999999
Serenity in Sobriety|Location is: Serenity in Sobriety|5|14:00:00|15:00:00|Steinmetz House, Sonora, TX |30.5668484|-100.64342729999998
THERE IS A SOLUTION|Location is: MCREE HALL|2|20:00:00|21:00:00|CHERRY STREET, GRAHAM, TX 76450|33.0996999|-98.58789709999996
THERE IS A SOLUTION|Location is: MCREE HALL|5|20:00:00|21:00:00|CHERRY STREET, GRAHAM, TX 76450|33.0996999|-98.58789709999996
Sobriety & Beyond|Location is: AI-.An Club|3|17:15:00|18:15:00|76I Cass SI., Cranbury, TX 76476|32.399846|-97.94193940000002
HOUR HOUSE|Location is: HOUR HOUSE|1|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE|Location is: HOUR HOUSE|2|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE|Location is: HOUR HOUSE|3|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE|Location is: HOUR HOUSE|4|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE|Location is: HOUR HOUSE|5|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE|Location is: HOUR HOUSE|6|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE|Location is: HOUR HOUSE|7|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE 2|Location is: HOUR HOUSE|1|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE 2|Location is: HOUR HOUSE|2|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE 2|Location is: HOUR HOUSE|3|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE 2|Location is: HOUR HOUSE|4|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE 2|Location is: HOUR HOUSE|5|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE 2|Location is: HOUR HOUSE|6|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
HOUR HOUSE 2|Location is: HOUR HOUSE|7|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067|32.80609|-98.107935
ARCHER GROUP|Location is: MASONIC LODGE|5|20:00:00|21:00:00|700 N CENTER HIGHWAY 79 NORTH, ARCHER CITY, TX 76374|33.3505938|-98.79218359999999
SUNRISE SERENITY|Location is: SUNRISE SERENITY|2|07:00:00|08:00:00|1905 W PEARL ST, GRANBURY, TX 76048|32.437814|-97.80863699999998
SUNRISE SERENITY|Location is: SUNRISE SERENITY|4|07:00:00|08:00:00|1905 W PEARL ST, GRANBURY, TX 76048|32.437814|-97.80863699999998
SUNRISE SERENITY|Location is: SUNRISE SERENITY|6|07:00:00|08:00:00|1905 W PEARL ST, GRANBURY, TX 76048|32.437814|-97.80863699999998
OLDE TIMEY GROUP|Location is: OLDE TIMEY GROUP|2|18:00:00|19:00:00|105 NE BARNARD ST, GLEN ROSE, TX 76043|32.2348445|-97.7553633
OLDE TIMEY GROUP|Location is: OLDE TIMEY GROUP|5|18:00:00|19:00:00|105 NE BARNARD ST, GLEN ROSE, TX 76043|32.2348445|-97.7553633
OLDE TIMEY GROUP|Location is: OLDE TIMEY GROUP|6|18:00:00|19:00:00|105 NE BARNARD ST, GLEN ROSE, TX 76043|32.2348445|-97.7553633
710 Group|Location is: Midland Texas|1|17:00:00|18:00:00|710 W. Ohio St, midland, TX 79701|32.0004758|-102.08286420000002
Eye Opener Group|Location is: Eye Opener Group|2|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Grass Roots|Location is: Eye Opener Group|2|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Round Table|Location is: Eye Opener Group|2|17:30:00|18:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
BYOC Men's Stag|Location is: Eye Opener Group|2|18:30:00|19:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
123 W Windsor (Club)|Location is: Eye Opener Group|2|19:00:00|20:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
The Gong Show|Location is: Eye Opener Group|2|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Eye Opener Group|Location is: Eye Opener Group|3|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Glendale|Location is: Eye Opener Group|3|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Young People's|Location is: Eye Opener Group|3|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Armenian|Location is: Eye Opener Group|3|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Glendale All Age Group|Location is: Eye Opener Group|3|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Eye Opener Group|Location is: Eye Opener Group|4|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Glendale Nooners|Location is: Eye Opener Group|4|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Glendale Neet|Location is: Eye Opener Group|4|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
ArmenianAmerican Sobers|Location is: Eye Opener Group|4|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Easy Does It|Location is: Eye Opener Group|4|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Eye Opener Group|Location is: Eye Opener Group|5|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
123 W Windsor (Club)|Location is: Eye Opener Group|5|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Men's|Location is: Eye Opener Group|5|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Women's Topic|Location is: Eye Opener Group|5|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Question Mark Group|Location is: Eye Opener Group|5|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Eye Opener Group|Location is: Eye Opener Group|6|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Friday Rap Group|Location is: Eye Opener Group|6|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Early Bird Book Study|Location is: Eye Opener Group|6|18:30:00|19:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Glendale Trouble Shooters|Location is: Eye Opener Group|6|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Men's Stag|Location is: Eye Opener Group|7|09:30:00|10:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Question & Answer|Location is: Eye Opener Group|7|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Beginners Workshop|Location is: Eye Opener Group|7|18:00:00|19:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
New Leaf|Location is: Eye Opener Group|7|20:00:00|21:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Glendale Coffee Break|Location is: Eye Opener Group|1|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Sunday|Location is: Eye Opener Group|1|17:45:00|18:45:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Armenian Meeting|Location is: Eye Opener Group|1|20:00:00|21:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
Turning Point|Location is: Eye Opener Group|1|20:00:00|21:00:00|123 W Windsor (Club), Glendale, TX 79701|32.0078346|-102.08456590000003
GRANBURY SERENITY 5|Location is: GRANBURY SERENITY|1|09:30:00|10:30:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY|Location is: GRANBURY SERENITY|2|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY|Location is: GRANBURY SERENITY|3|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY|Location is: GRANBURY SERENITY|4|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY|Location is: GRANBURY SERENITY|5|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY|Location is: GRANBURY SERENITY|6|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY|Location is: GRANBURY SERENITY|7|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|1|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|2|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|3|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|4|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|5|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|6|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 2|Location is: GRANBURY SERENITY|7|12:00:00|13:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 4|Location is: GRANBURY SERENITY|5|18:00:00|19:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|1|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|2|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|3|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|4|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|5|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|6|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
GRANBURY SERENITY 3|Location is: GRANBURY SERENITY|7|20:00:00|21:00:00|1205 N LIPAN DR, GRANBURY, TX 76048|32.5205766|-98.0510701
THURSDAY NITE LADIES|Location is: Chr. Comm. Presby. Church|5|20:00:00|21:00:00|3120 Bel Air Dr., Bowie, TX 79703|31.9923777|-102.13773909999998
Copperas Cove AA|Location is: Fairview Community Church|2|20:00:00|21:00:00|Veterans Ave, Copperas Cove, TX 76522|31.1197331|-97.92363030000001
Copperas Cove AA   12&12|Location is: Fairview Community Church|1|20:00:00|21:00:00|11th & Veterans, copperas_cove, TX 76522|31.1182417|-97.91246100000001
As Bill Sees It|Location is: Fairview Community Church|6|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522|31.1182417|-97.91246100000001
Copperas Cove AA|Location is: Fairview Community Church|7|20:00:00|21:00:00|11th St & Veterans, copperas_cove, TX 76522|31.1182417|-97.91246100000001
Copperas Cove AA Thursday Night Big Book Study|Location is: Fairview Community Church|5|20:00:00|21:00:00|Veterans & 11th St, copperas_cove, TX 76522|31.1182417|-97.91246100000001
Coperas Cove AATuesday Night Open Discussion|Location is: Fairview Community Church|3|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522|31.1182417|-97.91246100000001
Copperas Cove AA|Location is: Fairview Community Church|3|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522|31.1182417|-97.91246100000001
Copperas Cove Tuesday Night|Location is: Fairview Community Church|3|20:00:00|21:00:00|Veterans Ave & S 11th St, Copperas Cove, TX 76522|31.1182417|-97.91246100000001
Wednesday night Beginners Meeting|Location is: Fairview Community Church |4|20:00:00|21:00:00|1202 Veterans Ave, copperas cove, TX 76522|31.118655|-97.91172699999998
The Meridian Group|Location is: Brantley Building -downtown MeridIan|5|12:15:00|13:15:00|116-b North Main (Hwy. 144), Meridian, TX 76665|31.92320849999999|-97.6566894
The Meridian Group|Location is: Brantley Building -downtown MeridIan|4|20:00:00|21:00:00|116-b North Main (Hwy. 144), Meridian, TX 76665|31.92320849999999|-97.6566894
The Meridian Group|Location is: Brantley Building -downtown MeridIan|2|20:00:00|21:00:00|116-b North Main (Hwy. 144), Meridian, TX 76665|31.92320849999999|-97.6566894
PROMISES|Location is: PROMISES|3|18:30:00|19:30:00|1200 TEMPLE HALL HWY, GRANBURY, TX 76049|32.481951|-97.722059
PROMISES|Location is: PROMISES|5|18:30:00|19:30:00|1200 TEMPLE HALL HWY, GRANBURY, TX 76049|32.481951|-97.722059
WAYWARD GROUP|Location is: WAYWARD GROUP|2|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX |32.7597702|-97.79893349999998
WAYWARD GROUP|Location is: WAYWARD GROUP|3|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX |32.7597702|-97.79893349999998
WAYWARD GROUP|Location is: WAYWARD GROUP|4|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX |32.7597702|-97.79893349999998
WAYWARD GROUP|Location is: WAYWARD GROUP|5|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX |32.7597702|-97.79893349999998
WAYWARD GROUP|Location is: WAYWARD GROUP|6|19:00:00|20:00:00|134 DALLAS AVE, WEATHERFORD, TX |32.7597702|-97.79893349999998
WAYWARD GROUP 3|Location is: WAYWARD GROUP|1|12:00:00|13:00:00|109 AUSTIN PLACE, WEATHERFORD, TX 76086|32.7596449|-97.79665109999996
WAYWARD GROUP 2|Location is: WAYWARD GROUP|1|20:00:00|21:00:00|109 AUSTIN PLACE, WEATHERFORD, TX 76086|32.7596449|-97.79665109999996
WAYWARD GROUP 2|Location is: WAYWARD GROUP|7|20:00:00|21:00:00|109 AUSTIN PLACE, WEATHERFORD, TX 76086|32.7596449|-97.79665109999996
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|1|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|2|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|3|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|4|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|5|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|6|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP|Location is: WEATHERFORD GROUP|7|12:00:00|13:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|1|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|2|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|3|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|4|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|5|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|6|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
WEATHERFORD GROUP 2|Location is: WEATHERFORD GROUP|7|20:00:00|21:00:00|502 E OAK ST, WEATHERFORD, TX 76086|32.7573446|-97.7904198
Centerpoint|Location is: Fellowship Hall|2|20:00:00|21:00:00|CENTERPOINT TX, center_point, TX |29.9464709|-99.04035220000003
GRUPO NUEVO HORIZONTE|Location is: GRUPO NUEVO HORIZONTE|2|20:00:00|21:00:00|140 JUAN CT, HUDSON OAKS, TX 76087|32.7497693|-97.71098389999997
GRUPO NUEVO HORIZONTE|Location is: GRUPO NUEVO HORIZONTE|4|20:00:00|21:00:00|140 JUAN CT, HUDSON OAKS, TX 76087|32.7497693|-97.71098389999997
GRUPO NUEVO HORIZONTE|Location is: GRUPO NUEVO HORIZONTE|7|20:00:00|21:00:00|140 JUAN CT, HUDSON OAKS, TX 76087|32.7497693|-97.71098389999997
RIVERIA PARADISIO|Location is: Lowery Lodge Sober House|1|13:00:00|14:00:00|2211 Memorial Blvd (HWY 27), kerrville, TX |30.0474332|-99.14031890000001
Delta Group|Location is: The Delta Group House|1|20:00:00|21:00:00|1402 N 2nd St, Killeen, TX 76541|31.1301466|-97.7268636
Primary Purpose|Location is: Memorial Baptist Church|5|18:30:00|19:30:00|4001 West Trimmier Road, Killeen, TX 76542|31.07992299999999|-97.73996090000003
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|7|09:00:00|10:00:00|213 PECAN DR, ALEDO, TX 76008|32.69735|-97.59980200000001
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|2|19:00:00|20:00:00|213 PECAN DR, ALEDO, TX 76008|32.69735|-97.59980200000001
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|3|19:00:00|20:00:00|213 PECAN DR, ALEDO, TX 76008|32.69735|-97.59980200000001
ALEDO GROUP|Location is: UNITED METHODIST CHURCH|5|19:00:00|20:00:00|213 PECAN DR, ALEDO, TX 76008|32.69735|-97.59980200000001
Renaissance Group|Location is: United Methodist Church|7|18:00:00|19:00:00|302 E Curry St, Florence, TX 76527|30.8400573|-97.79112659999998
Renaissance Group|Location is: Florence United Methodist Church|7|18:00:00|19:00:00|302 E. Curry St., florence, TX 76527|30.8400573|-97.79112659999998
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|1|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033|32.3444495|-97.386685
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|2|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033|32.3444495|-97.386685
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|5|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033|32.3444495|-97.386685
GRUPO UN NUEVO DIA|Location is: GRUPO UN NUEVO DIA|6|20:00:00|21:00:00|302 S MILL ST, CLEBURN, TX 76033|32.3444495|-97.386685
ALCO GROUP 4|Location is: ALCO GROUP|1|11:00:00|12:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP|Location is: ALCO GROUP|2|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP|Location is: ALCO GROUP|3|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP|Location is: ALCO GROUP|4|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP|Location is: ALCO GROUP|5|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP|Location is: ALCO GROUP|6|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP|Location is: ALCO GROUP|7|12:00:00|13:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP 2|Location is: ALCO GROUP|1|19:00:00|20:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP 2|Location is: ALCO GROUP|2|19:00:00|20:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
ALCO GROUP 2|Location is: ALCO GROUP|3|19:00:00|20:00:00|411 E HENDERSON ST, CLEBURNE, TX 76031|32.3481275|-97.3829101
